epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,440.903,1.66524,2.54646,1.50957,0.00609,0.73636,0.26533,0.14281,1.49292,3.24229,1.47634,0.000644444,0.000644444,0.000644444
2,760.212,1.57727,2.05205,1.42906,0.30377,0.25152,0.18228,0.08039,1.77441,2.93039,1.90324,0.00127866,0.00127866,0.00127866
3,1087.58,1.61466,1.9365,1.45298,0.13166,0.25758,0.09202,0.04167,1.96726,3.22688,1.98,0.00187988,0.00187988,0.00187988
4,1463.15,1.60336,1.8854,1.49737,0.20761,0.22727,0.14637,0.07067,1.83189,2.78028,1.90116,0.0018515,0.0018515,0.0018515
5,2000.94,1.53676,1.71092,1.46364,0.42066,0.41515,0.35112,0.16543,1.98442,2.25563,1.99146,0.001802,0.001802,0.001802
6,2602.63,1.51114,1.63249,1.42208,0.55131,0.44242,0.46629,0.24732,1.69941,2.13049,1.61606,0.0017525,0.0017525,0.0017525
7,3064.99,1.49077,1.56886,1.42393,0.60276,0.5,0.52815,0.27983,1.59501,2.00714,1.60214,0.001703,0.001703,0.001703
8,3653.9,1.52583,1.56104,1.39257,0.53243,0.38485,0.39002,0.20191,1.75295,2.12211,1.66961,0.0016535,0.0016535,0.0016535
9,4121.09,1.45016,1.44478,1.38074,0.66599,0.53636,0.60597,0.33292,1.61632,1.64858,1.55703,0.001604,0.001604,0.001604
10,4609.78,1.46689,1.40978,1.36339,0.58799,0.54848,0.5596,0.30126,1.59826,1.89437,1.50376,0.0015545,0.0015545,0.0015545
11,5101.14,1.39703,1.34062,1.33194,0.67088,0.5697,0.63491,0.3454,1.49957,1.80647,1.47641,0.001505,0.001505,0.001505
12,5576.53,1.38734,1.32123,1.33207,0.65936,0.58069,0.63681,0.35499,1.53055,1.49,1.5295,0.0014555,0.0014555,0.0014555
13,6068.64,1.38077,1.29337,1.31055,0.68172,0.58416,0.65342,0.36013,1.50571,1.51971,1.47538,0.001406,0.001406,0.001406
14,6458.9,1.37765,1.22583,1.32224,0.71556,0.54545,0.63345,0.35896,1.48916,1.49139,1.46679,0.0013565,0.0013565,0.0013565
15,6994.18,1.33578,1.19424,1.28692,0.75148,0.62121,0.70967,0.40679,1.44931,1.3596,1.39651,0.001307,0.001307,0.001307
16,7402.54,1.29087,1.18696,1.26882,0.73117,0.59394,0.66863,0.39428,1.45158,1.49779,1.37323,0.0012575,0.0012575,0.0012575
17,7792.62,1.36033,1.205,1.28377,0.68521,0.62004,0.68303,0.39901,1.46163,1.36595,1.37743,0.001208,0.001208,0.001208
18,8191.73,1.33123,1.16926,1.27617,0.73107,0.65152,0.73649,0.42495,1.45522,1.31292,1.40732,0.0011585,0.0011585,0.0011585
19,8700.56,1.29032,1.111,1.26118,0.72165,0.62727,0.70425,0.41847,1.44323,1.31674,1.4169,0.001109,0.001109,0.001109
20,10467.8,1.27571,1.08139,1.24639,0.70555,0.62445,0.69308,0.42113,1.38856,1.36555,1.37404,0.0010595,0.0010595,0.0010595
21,13536.9,1.26663,1.08426,1.25549,0.75544,0.59909,0.69304,0.41518,1.41728,1.32275,1.37385,0.00101,0.00101,0.00101
22,13922.1,1.2654,1.07988,1.24568,0.74602,0.65152,0.7559,0.4313,1.43834,1.197,1.38127,0.0009605,0.0009605,0.0009605
23,14321.6,1.22744,1.04595,1.21865,0.82191,0.65729,0.76227,0.44875,1.37607,1.24456,1.34734,0.000911,0.000911,0.000911
24,15500.9,1.21848,1.03217,1.23555,0.74226,0.6303,0.71637,0.43474,1.36121,1.21469,1.33142,0.0008615,0.0008615,0.0008615
25,17929.9,1.20081,1.00394,1.20613,0.79663,0.59394,0.72924,0.45096,1.37541,1.23973,1.35149,0.000812,0.000812,0.000812
26,22754.6,1.17904,1.02073,1.21858,0.77433,0.7,0.75299,0.47146,1.34595,1.15308,1.33476,0.0007625,0.0007625,0.0007625
27,23253,1.16206,0.98142,1.17465,0.74176,0.67894,0.75415,0.46343,1.34434,1.15409,1.32169,0.000713,0.000713,0.000713
28,23784.4,1.15894,0.93754,1.17657,0.82244,0.65969,0.76414,0.46941,1.36549,1.12007,1.34656,0.0006635,0.0006635,0.0006635
29,26377.6,1.17692,0.94426,1.19701,0.77393,0.65152,0.7533,0.46129,1.37721,1.18938,1.34183,0.000614,0.000614,0.000614
30,26774.9,1.12812,0.92319,1.17199,0.80797,0.65027,0.76755,0.45874,1.41187,1.12111,1.36832,0.0005645,0.0005645,0.0005645
31,27183.8,1.08584,0.94483,1.1496,0.76977,0.66061,0.74636,0.44811,1.39012,1.28663,1.35495,0.000515,0.000515,0.000515
32,27488.6,1.08774,0.87038,1.17217,0.78374,0.64242,0.74281,0.45996,1.36619,1.22661,1.35951,0.0004655,0.0004655,0.0004655
33,27807.9,1.06526,0.82469,1.12128,0.84569,0.65455,0.78165,0.48891,1.34201,1.06807,1.33276,0.000416,0.000416,0.000416
34,28223.6,1.04357,0.81147,1.12815,0.79839,0.69091,0.77715,0.4767,1.35508,1.07388,1.35931,0.0003665,0.0003665,0.0003665
35,29164.5,1.00578,0.77951,1.09991,0.77948,0.67481,0.76644,0.48244,1.32615,1.0772,1.33468,0.000317,0.000317,0.000317
36,29508.1,1.02862,0.77299,1.10593,0.81941,0.64625,0.77071,0.48119,1.34076,1.08666,1.34841,0.0002675,0.0002675,0.0002675
37,29898.7,0.96485,0.72777,1.07875,0.79415,0.66667,0.77342,0.48547,1.3356,1.05641,1.31442,0.000218,0.000218,0.000218
38,30328.6,0.97154,0.71832,1.06688,0.80576,0.67879,0.76949,0.48783,1.30352,1.05787,1.30333,0.0001685,0.0001685,0.0001685
39,31653.5,0.9506,0.69505,1.07097,0.78034,0.67879,0.77386,0.48607,1.31882,1.05299,1.32001,0.000119,0.000119,0.000119
40,32135.6,1.00814,0.69373,1.09785,0.80671,0.67576,0.77941,0.49219,1.30853,1.04008,1.30894,6.95e-05,6.95e-05,6.95e-05
